収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/10/1,牧野フライス,BLグリーンオーク,160
2025/10/1,日本ファブテック,BLグリーンオーク,160
2025/10/1,東レ,BLロロロッサ,140
2025/10/1,東レ,BLレッドオーク,380
2025/10/1,東レ/加工BL,加工BL,60
2025/10/1,日本ロレアル,BLグリーンオーク,140
2025/10/1,日本ロレアル/加工BL,加工BL,80
2025/10/1,サンセイランディック,BLグリーンオーク,100
2025/10/1,サンセイランディック/加工BL,加工BL,120
2025/10/1,QB,BLグリーンオーク,620
2025/10/1,QB/加工BL,加工BL,260
2025/10/1,QB,BLピノグリーン,400
2025/10/1,昭和女子,BLグリーンオーク,1440
2025/10/1,昭和女子/加工BL,加工BL,100
2025/10/1,東レ,BLロログリーン,240
2025/10/1,バリュエンス,BLロロロッサ,1400
2025/10/1,バリュエンス,BLグリーンオーク,440
2025/10/1,バリュエンス,BLロログリーン,200
2025/10/1,バリュエンス/加工BL,加工BL,740
2025/10/1,バリュエンス/葉物野菜,ブロッコリースプラウト,1120
2025/10/1,富士機材/葉物野菜,パセリ,740
2025/10/1,NaITO,BLロロロッサ,140
2025/10/1,NaITO/加工BL,加工BL,1520
2025/10/1,富士機材,BLロログリーン,540
2025/10/1,ソリトン,BLロログリーン,1380
2025/10/1,ケイアイ,BLレッドオーク,240
2025/10/1,ケイアイ/加工BL,加工BL,300
2025/10/1,ケイアイ/葉物野菜,ブロッコリースプラウト,780
2025/10/1,岡部,BLレッドオーク,1440
2025/10/1,三和,BLグリーンオーク,2120
2025/10/1,慈誠会,BLグリーンオーク,480
2025/10/1,慈誠会,BLロロロッサ,4720
2025/10/1,富士機械,BLロロロッサ,1400
2025/10/1,サンテレホン,BLピノグリーン,780
2025/10/1,サンテレホン,BLロログリーン,200
2025/10/1,サンテレホン/加工BL,加工BL,2560
2025/10/1,富士機械/根菜,ラディッシュ,200
2025/10/1,日建,BLロロロッサ,120
2025/10/1,日建/葉物野菜,島唐辛子,300
2025/10/1,日建,BLグリーンオーク,300
2025/10/2,東レ,BLロロロッサ,260
2025/10/2,東レ/加工BL,加工BL,140
2025/10/2,東レ,BLロログリーン,480
2025/10/2,日本ロレアル,BLグリーンオーク,600
2025/10/2,昭和女子,BLグリーンオーク,280
2025/10/2,QB,BLグリーンオーク,320
2025/10/2,Adobe,BLレッドオーク,120
2025/10/2,Adobe,BLロログリーン,320
2025/10/2,富士機材,Bロログリーン,700
2025/10/2,NaTIO,BLロロロッサ,120
2025/10/2,NaITO/加工BL,加工BL,40
2025/10/2,三和,BLグリーンオーク,420
2025/10/2,慈誠会,BLロロロッサ,880
2025/10/2,富士機械,BLピノグリーン,2040
2025/10/2,サンテレホン,BLピノグリーン,1480
2025/10/2,サンテレホン,BLロログリーン,180
2025/10/2,日建,BLグリーンオーク,440
2025/10/3,東レ,BLロログリーン,340
2025/10/3,東レ,BLグリーンオーク,340
2025/10/3,日本ロレアル,BLグリーンオーク,280
2025/10/3,昭和女子,BLグリーンオーク,360
2025/10/3,昭和女子/加工BL,加工BL,140
2025/10/3,昭和女子,BLロログリーン,140
2025/10/3,QB,BLグリーンオーク,420
2025/10/3,QB/加工BL,加工BL,380
2025/10/3,QB,BLピノグリーン,320
2025/10/3,バリュエンス,BLロロロッサ,760
2025/10/3,バリュエンス/加工BL,加工BL,280
2025/10/3,バリュエンス,BLグリーンオーク,200
2025/10/3,バリュエンス,BLロログリーン,120
2025/10/3,Adobe,BLロログリーン,220
2025/10/3,富士機材,BLロログリーン,580
45933,NaITO,BLロロロッサ,20
45933,NaITO/加工BL,加工BL,720
45933,ソリトン/葉物野菜,ブロッコリースプラウト,1820
