収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/9/8,牧野フライス,BLレッドオーク,520
2025/9/8,牧野フライス/加工BL,加工BL,100
2025/9/8,日本ファブテック,BLレッドオーク,240
2025/9/8,東レ,BLロロロッサ,120
2025/9/8,東レ,BLレッドオーク,120
2025/9/8,東レ,BLグリーンオーク,200
2025/9/8,東レ/加工BL,加工BL,40
2025/9/8,イソップ,BLグリーンオーク,280
2025/9/8,サンセイランディック,BLグリーンオーク,300
2025/9/8,サンセイランディック/加工BL,加工BL,140
2025/9/8,昭和女子/加工BL,加工BL,420
2025/9/8,昭和女子,BLロログリーン,840
2025/9/8,QB,BLグリーンオーク,360
2025/9/8,QB,BLピノグリーン,160
2025/9/8,QB/加工BL,加工BL,280
2025/9/8,バリュエンス　,BLロロロッサ,630
2025/9/8,バリュエンス,BLグリーンオーク,220
2025/9/8,バリュエンス,BLロログリーン,360
2025/9/8,バリュエンス/加工BL,加工BL,100
2025/9/8,Adobe,BLレッドオーク,520
2025/9/8,富士機材,BLロログリーン,460
2025/9/8,NaITO,BLロロロッサ,340
2025/9/8,NaITO/加工BL,加工BL,280
2025/9/8,ソリトン/葉物野菜,ブロッコリースプラウト,1120
2025/9/8,ソリトン,BLロログリーン,760
2025/9/8,ケイアイ,BLレッドオーク,420
2025/9/8,ケイアイ/加工BL,加工BL,100
2025/9/8,三和,BLグリーンオーク,1080
2025/9/8,慈誠会,BLピノグリーン,1040
2025/9/8,富士機械,BLピノグリーン,960
2025/9/8,富士機械,BLロロロッサ,1380
2025/9/8,サンテレホン,BLピノグリーン,230
2025/9/8,IDAJ,BLピノグリーン,180
2025/9/8,IDAJ,BLロログリーン,140
2025/9/8,日建,島唐辛子,1040
2025/9/8,日建,ミニトマト,3640
2025/9/9,東レ/加工BL,加工BL,140
2025/9/9,東レ,BLレッドオーク,400
2025/9/9,東レ,BLグリーンオーク,240
2025/9/9,東レ,BLロロロッサ,300
2025/9/9,昭和女子,BLロログリーン,260
2025/9/9,昭和女子/加工BL,加工BL,420
2025/9/9,QB,BLピノグリーン,320
2025/9/9,QB/加工BL,加工BL,140
2025/9/9,バリュエンス,BLロロロッサ,500
2025/9/9,バリュエンス,BLロログリーン,180
2025/9/9,バリュエンス,BLグリーンオーク,160
2025/9/9,Adobe,BLレッドオーク,200
2025/9/9,NaITO,BLロロロッサ,280
2025/9/9,NaITO/加工BL,加工BL,260
2025/9/9,マルテー,BLレッドオーク,240
2025/9/9,マルテー,BLピノグリーン,10
2025/9/9,ソリトン,BLロログリーン,180
2025/9/9,ソリトン/葉物野菜,ブロッコリースプラウト,2060
2025/9/9,岡部,BLレッドオーク,740
2025/9/9,三和,BLグリーンオーク,760
2025/9/9,慈誠会,BLグリーンオーク,280
2025/9/9,慈誠会,BLピノグリーン,920
2025/9/9,慈誠会,BLロロロッサ,300
2025/9/9,サンテレホン,BLピノグリーン,480
2025/9/9,IDAJ,BLピノグリーン,1300
2025/9/9,日建,BLロログリーン,380
2025/9/10,三和,BLグリーンオーク,800
2025/9/10,慈誠会,BLピノグリーン,840
2025/9/10,サンテレホン,BLピノグリーン,1160
2025/9/10,日建/加工BL,加工BL,600
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
