収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/8/1,牧野フライス,BLレッドオーク,100
2025/8/1,牧野フライス,加工BL,300
2025/8/1,日本ファブテック,BLレッドオーク,220
2025/8/1,日本ファブテック,加工BL,280
2025/8/1,東レ,加工BL,200
2025/8/1,東レ,BLロロロッサ,860
2025/8/1,東レ,BLグリーンオーク,160
2025/8/1,イソップ,BLグリーンオーク,260
2025/8/1,イソップ,加工BL,620
2025/8/1,サンセイランディック,BLグリーンオーク,40
2025/8/1,QB,BLピノグリーン,280
2025/8/1,QB,加工BL,500
2025/8/1,バリュエンス,BLロロロッサ,640
2025/8/1,バリュエンス,BLグリーンオーク,220
2025/8/1,Adobe,BLレッドオーク,350
2025/8/1,マルテー,BLレッドオーク,120
2025/8/1,ケイアイ,BLレッドオーク,740
2025/8/1,ケイアイ,加工BL,100
2025/8/1,岡部,BLグリーンオーク,500
2025/8/1,三和,BLグリーンオーク,160
2025/8/1,慈生会,BLロロロッサ,320
2025/8/1,サンテレホン,BLピノグリーン,40
2025/8/1,サンテレホン,BLロログリーン,120
2025/8/1,IDAJ,BLロログリーン,360
2025/8/1,IDAJ,BLピノグリーン,120
2025/8/4,牧野フライス,BLレッドオーク,180
2025/8/4,日本ファブテック,BLレッドオーク,140
2025/8/4,東レ,BLグリーンオーク,"1,000"
2025/8/4,東レ,加工BL,140
2025/8/4,東レ,BLロロロッサ,380
2025/8/4,イソップ,BLグリーンオーク,80
2025/8/4,サンセイランディック,BLグリーンオーク,140
2025/8/4,サンセイランディック,加工BL,80
2025/8/4,昭和女子,BLロログリーン,790
2025/8/4,昭和女子,加工BL,240
2025/8/4,バリュエンス,加工BL,240
2025/8/4,バリュエンス,BLグリーンオーク,400
2025/8/4,バリュエンス,BLロロロッサ,360
2025/8/4,バリュエンス,BLレッドオーク,120
2025/8/4,バリュエンス,加工BL,100
2025/8/4,QB,BLピノグリーン,280
2025/8/4,QB,加工BL,300
2025/8/4,QB,BLグリーンオーク,400
2025/8/4,Adobe,BLレッドオーク,420
2025/8/4,NaITO,BLレッドオーク,260
2025/8/4,NaITO,加工BL,100
2025/8/4,富士機材,BLロログリーン,80
2025/8/4,マルテー,BLレッドオーク,220
2025/8/4,マルテー,ショウガ,"1,080"
2025/8/4,ソリトン,BLロログリーン,660
2025/8/4,ケイアイ,ショウガ,560
2025/8/4,ケイアイ,BLレッドオーク,880
2025/8/4,岡部,BLグリーンオーク,440
2025/8/4,三和,BLグリーンオーク,800
2025/8/4,富士機械,ショウガ,720
2025/8/4,富士機械,BLレッドオーク,240
2025/8/4,サンテレホン,BLピノグリーン,440
2025/8/4,サンテレホン,BLロログリーン,380
2025/8/4,サンテレホン,ショウガ,510
2025/8/4,IDAJ,BLロログリーン,700
2025/8/4,日建,BLロロロッサ,400
2025/8/5,牧野フライス,加工BL,120
2025/8/5,日本ファブテック,BLレッドオーク,80
2025/8/5,東レ,ショウガ,"1,320"
2025/8/5,サンセイランディック,加工BL,100
2025/8/5,昭和女子,BLロログリーン,60
2025/8/5,昭和女子,加工BL,180
2025/8/5,QB,BLピノグリーン,200
2025/8/5,QB,加工BL,240
2025/8/5,バリュエンス,BLロロロッサ,260
2025/8/5,バリュエンス,BLグリーンオーク,340
2025/8/5,バリュエンス,BLレッドオーク,140
2025/8/5,バリュエンス,加工BL,80
2025/8/5,Adobe,BLレッドオーク,200
2025/8/5,ソリトン,BLロログリーン,300
2025/8/5,ソリトン,ブロッコリースプラウト,580
2025/8/5,ケイアイ,ブロッコリースプラウト,"1,480"
2025/8/5,岡部,BLグリーンオーク,480
2025/8/5,三和,BLグリーンオーク,640
2025/8/5,慈生会,BLロロロッサ,560
2025/8/5,富士機械,BLレッドオーク,"1,120"
2025/8/5,IDAJ,BLロログリーン,120
2025/8/5,サンテレホン,BLピノグリーン,140
2025/8/5,日建,BLピノグリーン,120
2025/8/5,日建,BLレッドオーク,180
2025/8/6,東レ,BLレッドオーク,360
2025/8/6,東レ,加工BL,140
2025/8/6,東レ,レッドオーク,"1,880"
2025/8/6,サンセイ,BLグリーンオーク,100
2025/8/6,サンセイ,加工BL,60
2025/8/6,昭和女子,BLロログリーン,660
2025/8/6,昭和女子,加工BL,300
2025/8/6,QB,BLグリーンオーク,500
2025/8/6,QB,BLピノグリーン,280
2025/8/6,QB,加工BL,320
2025/8/6,バリュエンス,BLロロロッサ,360
2025/8/6,バリュエンス,BLグリーンオーク,160
2025/8/6,バリュエンス,ブロッコリースプラウト,160
2025/8/6,Adobe,BLレッドオーク,220
2025/8/6,富士機材,パセリ,540
2025/8/6,ソリトン,ブロッコリースプラウト,440
2025/8/6,ケイアイ,ブロッコリースプラウト,340
2025/8/6,三和,BLグリーンオーク,400
2025/8/6,慈生会,BLグリーンオーク,340
2025/8/6,富士機械,BLレッドオーク,400
2025/8/6,IDAJ,BLロログリーン,60
2025/8/6,サンテレホン,BLロログリーン,580
2025/8/6,サンテレホン,BLピノグリーン,"1,120"
2025/8/6,日建,BLロロロッサ,280
2025/8/6,日建,BLレッドオーク,140
2025/8/6,日建,島唐辛子,600
2025/8/7,牧野フライス,BLレッドオーク,500
2025/8/7,牧野フライス,加工BL,440
2025/8/7,日本ファブテック,BLレッドオーク,180
2025/8/7,日本ファブテック,加工BL,200
2025/8/7,東レ,BLロログリーン,620
2025/8/7,東レ,BLレッドオーク,440
2025/8/7,東レ,加工BL,200
2025/8/7,日本ロレアル,加工BL,280
2025/8/7,日本ロレアル,BLグリーンオーク,260
2025/8/7,昭和女子,BLロログリーン,120
2025/8/7,昭和女子,加工BL,100
2025/8/7,QB,BLピノグリーン,200
2025/8/7,QB,BLグリーンオーク,100
2025/8/7,QB,加工BL,380
2025/8/7,バリュ,BLロロロッサ,"1,180"
2025/8/7,バリュエンス,BLレッドオーク,420
2025/8/7,バリュエンス,加工BL,100
2025/8/7,富士機材,BLロログリーン,220
2025/8/7,NaITO,BLレッドオーク,160
2025/8/7,NaITO,加工BL,60
2025/8/7,マルテー,BLレッドオーク,420
2025/8/7,牧野フライス,BLピノグリーン,60
2025/8/7,ソリトン,BLロログリーン,500
2025/8/7,ケイアイ,加工BL,200
2025/8/7,契約書,BLレッドオーク,720
2025/8/7,サンテレホン,BLピノグリーン,360
