収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/9/29,牧野フライス,BLグリーンオーク,260
2025/9/29,日本ファブテック,BLグリーンオーク,200
2025/9/29,東レ,BLグリーンオーク,640
2025/9/29,東レ,BLロログリーン,720
2025/9/29,東レ,BLロロロッサ,400
2025/9/29,東レ/加工BL,加工BL,480
2025/9/29,日本ロレアル,BLグリーンオーク,280
2025/9/29,サンセイランディック,BLグリーンオーク,400
2025/9/29,サンセイランディック/加工BL,加工BL,160
2025/9/29,昭和女子,BLロログリーン,220
2025/9/29,昭和女子,BLグリーンオーク,2500
2025/9/29,昭和女子/加工BL,加工BL,220
2025/9/29,バリュエンス,BLロロロッサ,780
2025/9/29,バリュエンス,BLロログリーン,120
2025/9/29,バリュエンス/加工BL,加工BL,380
2025/9/29,QB,BLピノグリーン,1580
2025/9/29,QB,BLグリーンオーク,1770
2025/9/29,QB/加工BL,加工BL,160
2025/9/29,Adobe,BLレッドオーク,260
2025/9/29,Adobe,BLロログリーン,480
2025/9/29,富士機材,BLロログリーン,1000
2025/9/29,NaITO,BLロロロッサ,340
2025/9/29,NaITO/加工BL,加工BL,520
2025/9/29,マルテー,BLピノグリーン,440
2025/9/29,ソリトン,BLロログリーン,3220
2025/9/29,ケイアイ/加工BL,加工BL,240
2025/9/29,岡部,BLレッドオーク,790
2025/9/29,三和,BLグリーンオーク,3200
2025/9/29,慈誠会,BLピノグリーン,1340
2025/9/29,富士機械,BLロロロッサ,2120
2025/9/29,富士機械,BLピノグリーン,1280
2025/9/29,IDAJ,BLピノグリーン,1680
2025/9/29,IDAJ/加工BL,加工BL,800
2025/9/29,ケイアイ,BLレッドオーク,600
2025/9/29,サンテレホン,BLグリーンオーク,1800
2025/9/29,サンテレホン,BLピノグリーン,1340
2025/9/29,日建,BLピノグリーン,140
2025/9/29,日建,BLロロロッサ,760
2025/9/30,牧野フライス,BLグリーンオーク,160
2025/9/30,日本ファブテック,BLグリーンオーク,160
2025/9/30,東レ,BLグリーンオーク,580
2025/9/30,東レ,BLグリーンオーク,100
2025/9/30,東レ,BLロロロッサ,180
2025/9/30,東レ/加工BL,加工BL,80
2025/9/30,日本ロレアル,BLグリーンオーク,180
2025/9/30,サンセイランディック,BLグリーンオーク,100
2025/9/30,サンセイランディック/加工BL,加工BL,60
2025/9/30,昭和女子,BLグリーンオーク,680
2025/9/30,昭和女子,BLロログリーン,400
2025/9/30,昭和女子/加工BL,加工BL,140
2025/9/30,バリュエンス,BLロロロッサ,380
2025/9/30,バリュエンス/加工BL,加工BL,280
2025/9/30,バリュエンス,BLグリーンオーク,100
2025/9/30,QB,BLグリーンオーク,730
2025/9/30,Adobe,BLレッドオーク,100
2025/9/30,Adobe,BLロログリーン,200
2025/9/30,NaITO,BLロロロッサ,120
2025/9/30,NaITO/加工BL,加工BL,200
2025/9/30,マルテー,BLピノグリーン,100
2025/9/30,ソリトン,BLロログリーン,840
2025/9/30,岡部,BLレッドオーク,940
2025/9/30,慈誠会,BLピノグリーン,2640
2025/9/30,慈誠会,BLピノグリーン,160
2025/9/30,三和,BLグリーンオーク,1200
2025/9/30,IDAJ,BLピノグリーン,880
2025/9/30,IDAJ/加工BL,加工BL,180
2025/9/30,サンテレホン,BLピノグリーン,1500
2025/9/30,日建,BLロロロッサ,180
2025/9/30,日建,BLレッドオーク,120
2025/9/30,日建,BLピノグリーン,260
2025/9/30,日建/ミニトマト,ミニトマト,1930
2025/9/30,日建/葉物野菜,島唐辛子,910
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
