収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/9/16,牧野フライス/加工BL,加工BL,120
2025/9/16,日本ファブテック/加工BL,加工BL,140
2025/9/16,東レ,BLロロロッサ,1120
2025/9/16,東レ,BLグリーンオーク,880
2025/9/16,東レ/加工BL,加工BL,140
2025/9/16,イソップ,BLグリーンオーク,280
2025/9/16,サンセイランディック,BLグリーンオーク,180
2025/9/16,サンセイランディック/加工BL,加工BL,80
2025/9/16,昭和女子/加工BL,加工BL,580
2025/9/16,昭和女子,BLロログリーン,1720
2025/9/16,QB,BLグリーンオーク,340
2025/9/16,QB,BLピノグリーン,300
2025/9/16,QB/加工BL,加工BL,320
2025/9/16,バリュエンス,BLロロロッサ,160
2025/9/16,バリュエンス/加工BL,加工BL,120
2025/9/16,バリュエンス/葉物野菜,ブロッコリースプラウト,420
2025/9/16,富士機材,BLロログリーン,1020
2025/9/16,NaITO,BLロロロッサ,160
2025/9/16,NaITO/加工BL,加工BL,280
2025/9/16,Adobe,BLレッドオーク,300
2025/9/16,マルテー,BLピノグリーン,340
2025/9/16,ソリトン,BLロログリーン,500
2025/9/16,ケイアイ,BLレッドオーク,2940
2025/9/16,岡部,BLレッドオーク,580
2025/9/16,三和,BLグリーンオーク,1800
2025/9/16,慈誠会,BLピノグリーン,2140
2025/9/16,富士機械,BLロロロッサ,4240
2025/9/16,富士機械,BLピノグリーン,900
2025/9/16,サンテレホン,BLグリーンオーク,200
2025/9/16,サンテレホン,BLピノグリーン,1740
2025/9/16,IDAJ,BLグリーンオーク,140
2025/9/16,IDAJ,BLピノグリーン,160
2025/9/16,日建,BLピノグリーン,160
2025/9/17,牧野フライス,BLグリーンオーク,100
2025/9/17,日本ファブテック,BLグリーンオーク,180
2025/9/17,東レ,BLレッドオーク,300
2025/9/17,東レ/加工BL,加工BL,40
2025/9/17,イソップ,BLグリーンオーク,60
2025/9/17,サンセイランディック,BLグリーンオーク,180
2025/9/17,サンセイランディック/加工BL,加工BL,60
2025/9/17,昭和女子,BLロログリーン,440
2025/9/17,昭和女子,BLグリーンオーク,540
2025/9/17,バリュエンス,BLグリーンオーク,260
2025/9/17,バリュエンス,BLロロロッサ,460
2025/9/17,バリュエンス/加工BL,加工BL,260
2025/9/17,昭和女子/加工BL,加工BL,200
2025/9/17,Adobe/葉物野菜,パセリ,1400
2025/9/17,NaITO,BLロロロッサ,340
2025/9/17,NaITO/加工BL,加工BL,480
2025/9/17,岡部,BLレッドオーク,380
2025/9/17,三和,BLグリーンオーク,200
2025/9/17,慈誠会,BLピノグリーン,1060
2025/9/17,慈誠会,BLロロロッサ,140
2025/9/17,富士機械,BLロロロッサ,840
2025/9/17,サンテレホン,BLピノグリーン,820
2025/9/17,IDAJ,BLピノグリーン,1340
2025/9/17,IDAJ/加工BL,加工BL,260
2025/9/17,日建,BLロロロッサ,360
2025/9/17,日建/加工BL,加工BL,200
2025/9/17,日建/葉物野菜,島唐辛子,240
2025/9/18,牧野フライス/加工BL,加工BL,200
2025/9/18,日本ファブテック/加工BL,加工BL,120
2025/9/18,東レ/加工BL,加工BL,80
2025/9/18,東レ,BLレッドオーク,340
2025/9/18,イソップ/加工BL,加工BL,240
2025/9/18,昭和女子,BLロログリーン,540
2025/9/18,昭和女子/加工BL,加工BL,120
2025/9/18,Adobe,BLレッドオーク,200
2025/9/18,富士機材,BLロログリーン,340
2025/9/18,NaITO,BLロロロッサ,140
2025/9/18,NaITO/加工BL,加工BL,140
2025/9/18,マルテー,BLピノグリーン,220
2025/9/18,ソリトン,BLロログリーン,320
2025/9/18,ソリトン/葉物野菜,ブロッコリースプラウト,1260
2025/9/18,ケイアイ/葉物野菜,ブロッコリースプラウト,640
2025/9/18,三和,BLグリーンオーク,300
2025/9/18,慈誠会,BLロロロッサ,1520
2025/9/18,慈誠会,BLピノグリーン,200
2025/9/18,サンテレホン,BLピノグリーン,540
2025/9/18,サンテレホン,BLグリーンオーク,280
2025/9/18,IDAJ,BLピノグリーン,820
2025/9/18,IDAJ/加工BL,加工BL,420
2025/9/18,富士機械,BLロロロッサ,280
2025/9/18,富士機械,BLピノグリーン,580
2025/9/18,日建,BLロログリーン,40
2025/9/18,日建/ミニトマト,ミニトマト,1000
2025/9/18,日建/葉物野菜,島唐辛子,780
2025/9/19,牧野フライス,BLグリーンオーク,80
2025/9/19,日本ファブテック,BLグリーンオーク,160
2025/9/19,東レ,BLグリーンオーク,280
2025/9/19,東レ,BLロロロッサ,420
2025/9/19,東レ,BLレッドオーク,160
2025/9/19,東レ/加工BL,加工BL,60
2025/9/19,イソップ,BLグリーンオーク,120
2025/9/19,サンセイランディック,BLグリーンオーク,220
2025/9/19,昭和女子,BLロログリーン,780
2025/9/19,昭和女子/加工ＢＬ,加工BL,660
2025/9/19,QB,BLグリーンオーク,240
2025/9/19,QB,BLピノグリーン,320
2025/9/19,QB/加工BL,加工BL,100
2025/9/19,バリュエンス,BLロログリーン,180
2025/9/19,バリュエンス,BLロロロッサ,160
2025/9/19,バリュエンス/加工BL,加工BL,240
2025/9/19,Adobe,BLレッドオーク,140
2025/9/19,NaITO,BLロロロッサ,140
2025/9/19,NaITO/ 加工BL,加工BL,200
2025/9/19,ケイアイ/加工BL,加工ＢＬ,40
2025/9/19,ケイアイ,BLレッドオーク,540
2025/9/19,岡部,BLレッドオーク,340
2025/9/19,三和,BLグリーンオーク,1380
2025/9/19,富士機械,BLロロロッサ,640
2025/9/19,IDAJ,BLグリーンオーク,160
2025/9/19,IDAJ,BLピノグリーン,760
2025/9/19,IDAJ/加工BL,加工BL,920
2025/9/19,サンテレホン,BLピノグリーン,480
2025/9/19,日建/ミニトマト,ミニトマト,980
