収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/9/11,牧野フライス,BLレッドオーク,120
2025/9/11,日本ファブテック,BLレッドオーク,140
2025/9/11,東レ,BLグリーンオーク,60
2025/9/11,東レ,BLロロロッサ,120
2025/9/11,東レ/加工BL,加工BL,60
2025/9/11,サンセイランディック,BLグリーンオーク,360
2025/9/11,サンセイランディック/加工BL,加工BL,80
2025/9/11,昭和女子,BLロログリーン,160
2025/9/11,昭和女子/加工BL,加工BL,340
2025/9/11,QB,BLグリーンオーク,440
2025/9/11,QB,BLピノグリーン,140
2025/9/11,QB/加工BL,加工BL,260
2025/9/11,バリュエンス,BLロロロッサ,180
2025/9/11,富士機材,BLロログリーン,320
2025/9/11,マルテー,BLレッドオーク,260
2025/9/11,ソリトン,BLロログリーン,160
2025/9/11,ソリトン,ブロッコリースプラウト,860
2025/9/11,ケイアイ,ブロッコリースプラウト,900
2025/9/11,岡部,BLグリーンオーク,240
2025/9/11,三和,BLグリーンオーク,640
2025/9/11,慈誠会,BLピノグリーン,2380
2025/9/11,富士機械,BLピノグリーン,3200
2025/9/11,IDAJ,BLピノグリーン,460
2025/9/11,サンテレホン,BLグリーンオーク,140
2025/9/11,サンテレホン,BLピノグリーン,320
2025/9/11,日建,BLピノグリーン,120
2025/9/11,日建,BLロロロッサ,160
2025/9/12,日本ファブテック,BLピノグリーン,140
2025/9/12,イソップ,BLグリーンオーク,240
2025/9/12,サンセイランディック,BLグリーンオーク,120
2025/9/12,サンセイランディック/加工BL,加工BL,180
2025/9/12,昭和女子,BLロログリーン,1260
2025/9/12,昭和女子/加工BL,加工BL,960
2025/9/12,QB,BLピノグリーン,80
2025/9/12,QB,BLグリーンオーク,180
2025/9/12,QB/加工BL,加工BL,160
2025/9/12,　バリュエンス,BLロログリーン,140
2025/9/12,バリュエンス,BLロロロッサ,140
2025/9/12,Adobe,BLレッドオーク,660
2025/9/12,NaITO,BLロロロッサ,220
2025/9/12,NaITO/加工BL,加工BL,280
2025/9/12,ケイアイ,BLレッドオーク,620
2025/9/12,ケイアイ/加工BL,加工BL,320
2025/9/12,岡部,BLレッドオーク,860
2025/9/12,三和,BLグリーンオーク,1020
2025/9/12,慈誠会,BLロロロッサ,680
2025/9/12,富士機械,BLピノグリーン,1280
2025/9/12,富士機械,BLロロロッサ,2920
2025/9/12,IDAJ,BLピノグリーン,800
2025/9/12,IDAJ,BLロログリーン,80
2025/9/12,IDAJ,BLグリーンオーク,100
2025/9/12,IDAJ/加工BL,加工BL,220
2025/9/12,サンテレホン,BLピノグリーン,120
2025/9/12,サンテレホン,BLグリーンオーク,180
2025/9/12,日建,BLロログリーン,160
2025/9/12,日建,BLロロロッサ,160
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
