収穫ID,収穫日,企業名,収穫野菜名,収穫量（ｇ）
1,2025/8/26,牧野フライス,BLレッドオーク,140
2,2025/8/26,日本ファブテック,BLレッドオーク,240
3,2025/8/26,東レ,BLレッドオーク,280
4,2025/8/26,東レ,BLグリーンオーク,180
5,2025/8/26,イソップ/加工BL,加工BL,120
6,2025/8/26,サンセイランディック,BLグリーンオーク,240
7,2025/8/26,サンセイランディック/加工BL,加工BL,80
8,2025/8/26,昭和女子,BLロログリーン,460
9,2025/8/26,QB,BLピノグリーン,320
10,2025/8/26,QB/加工BL,加工BL,280
11,2025/8/26,バリュエンス,BLロロロッサ,180
12,2025/8/26,Adobe,BLレッドオーク,240
13,2025/8/26,NaITO,BLロロロッサ,200
14,2025/8/26,NaITO,BLレッドオーク,120
15,2025/8/26,NaITO/加工BL,加工BL,60
16,2025/8/26,ケイアイ/葉物野菜,ブロッコリースプラウト,880
17,2025/8/26,慈誠会,BLピノグリーン,500
18,2025/8/26,日建,BLピノグリーン,120
19,2025/8/26,日建/葉物野菜,島唐辛子,1120
20,2025/8/27,牧野フライス,BLレッドオーク,360
21,2025/8/27,日本ファブテック,BLレッドオーク,260
22,2025/8/27,イソップ,BLグリーンオーク,280
23,2025/8/27,サンセイランディック,BLグリーンオーク,440
24,2025/8/27,サンセイランディック/加工BL,加工BL,120
25,2025/8/27,昭和女子,BLロログリーン,280
26,2025/8/27,昭和女子/加工BL,加工BL,320
27,2025/8/27,QB,BLグリーンオーク,660
28,2025/8/27,QB,BLピノグリーン,280
29,2025/8/27,QB・加工BL,加工BL,540
30,2025/8/27,バリュエンス/葉物野菜,ブロッコリースプラウト,260
31,2025/8/27,バリュエンス,BLロログリーン,260
32,2025/8/27,バリュエンス,BLロロロッサ,240
33,2025/8/27,バリュエンス,BLグリーンオーク,300
34,2025/8/27,バリュエンス,BLレッドオーク,120
35,2025/8/27,バリュエンス/加工BL,加工BL,80
36,2025/8/27,Adobe,BLレッドオーク,200
37,2025/8/27,マルテー,BLレッドオーク,240
38,2025/8/27,岡部,BLレッドオーク,440
39,2025/8/27,三和,BLグリーンオーク,640
40,2025/8/27,慈誠会,BLロロロッサ,520
41,2025/8/27,富士機械,BLロロロッサ,680
42,2025/8/27,サンテレホン,BLグリーンオーク,120
43,2025/8/27,IDAJ,BLロログリーン,80
44,2025/8/27,日建/葉物野菜,レッドオーク,760
45,2025/8/27,日建,BLピノグリーン,100
46,2025/8/27,日建/ミニトマト,ミニトマト,"2,880"
47,2025/8/27,日建/葉物野菜,島唐辛子,1380
48,2025/8/28,昭和女子,BLロログリーン,120
49,2025/8/28,QB,BLピノグリーン,80
50,2025/8/28,QB/加工BL,加工BL,160
51,2025/8/28,バリュエンス,BLレッドオーク,120
52,2025/8/28,ソリトン/葉物野菜,ブロッコリースプラウト,1960
53,2025/8/28,富士機材,BLロログリーン,1500
54,2025/8/28,ケイアイ,BLレッドオーク,840
55,2025/8/28,三和,BLグリーンオーク,180
56,2025/8/28,サンテレホン,BLグリーンオーク,340
57,2025/8/29,東レ,BLレッドオーク,140
58,2025/8/29,東レ,BLピノグリーン,160
59,2025/8/29,東レ,BLグリーンオーク,180
60,2025/8/29,QB,BLピノグリーン,200
61,2025/8/29,QB/加工BL,加工BL,280
62,2025/8/29,Adobe,BLレッドオーク,660
63,2025/8/29,富士機材,BLロログリーン,180
64,2025/8/29,NaITO,BLレッドオーク,120
65,2025/8/29,バリュエンス,BLレッドオーク,100
66,2025/8/29,岡部,BLグリーンオーク,620
67,2025/8/29,岡部,BLレッドオーク,560
68,2025/8/29,三和,BLグリーンオーク,440
69,2025/8/29,慈誠会,BLピノグリーン,400
70,2025/8/29,富士機械,BＬピノグリーン,840
71,2025/8/29,サンテレホン,ＢＬピノグリーン,100
72,2025/8/29,サンテレホン,ＢＬグリーンオーク,240
73,2025/8/29,日建,ＢＬピノグリーン,120
74,2025/8/29,日建,ＢＬグリーンオーク,120
75,2025/8/29,日建/加工BL,加工BL,320
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
