ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1273        
トリガ点,0           
開始時刻,2025-09-29,15:21:47
終了時刻,2025-10-08,11:22:41
トリガ時刻,2025-09-29,15:22:41
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-09-29 15:22:41,000,+34.956,+47.794,+43.885,+12.940,+151.6,+0.01,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
2,2025-09-29 15:32:41,000,+34.856,+48.638,+43.925,+12.930,+144.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-09-29 15:42:41,000,+34.706,+48.475,+43.950,+12.920,+124.0,-0.01,-0.01,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
4,2025-09-29 15:52:41,000,+34.388,+49.388,+44.035,+12.930,+107.1,+0.00,+0.01,+0.00,+0.01,+0.00,LLLLLLLLLL,LLLLL
5,2025-09-29 16:02:41,000,+34.419,+48.600,+44.100,+12.920,+38.5,+0.00,+0.00,+0.00,+0.01,+0.00,LLLLLLLLLL,LLLLL
6,2025-09-29 16:12:41,000,+33.750,+49.306,+44.070,+12.910,+65.4,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
7,2025-09-29 16:22:41,000,+33.406,+50.388,+43.985,+12.910,+52.1,-0.01,+0.00,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
8,2025-09-29 16:32:41,000,+33.238,+51.875,+43.905,+12.900,+36.5,+0.00,+0.00,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
9,2025-09-29 16:42:41,000,+32.794,+56.075,+43.740,+12.900,+25.0,+0.00,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
10,2025-09-29 16:52:41,000,+31.969,+59.263,+43.560,+12.890,+11.5,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-09-29 17:02:41,000,+30.981,+61.525,+43.335,+12.870,+11.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-09-29 17:12:41,000,+30.231,+62.094,+43.090,+12.800,+3.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
13,2025-09-29 17:22:41,000,+29.500,+62.831,+42.810,+12.780,+1.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
14,2025-09-29 17:32:41,000,+28.956,+63.406,+42.455,+12.790,+0.5,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
15,2025-09-29 17:42:41,000,+28.456,+63.531,+42.100,+12.740,+0.2,+0.00,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
16,2025-09-29 17:52:41,000,+28.350,+55.350,+41.720,+12.690,+0.0,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
17,2025-09-29 18:02:41,000,+28.462,+48.575,+41.330,+12.710,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
18,2025-09-29 18:12:41,000,+28.388,+48.806,+40.855,+12.540,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
19,2025-09-29 18:22:41,000,+28.200,+47.187,+40.400,+12.530,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-09-29 18:32:41,000,+28.000,+46.994,+39.980,+12.530,+0.1,-0.01,+0.00,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
21,2025-09-29 18:42:41,000,+27.850,+46.737,+39.535,+12.450,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
22,2025-09-29 18:52:41,000,+27.631,+46.963,+39.130,+12.450,+0.0,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
23,2025-09-29 19:02:41,000,+27.425,+47.800,+38.735,+12.450,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
24,2025-09-29 19:12:41,000,+27.250,+48.962,+38.350,+12.360,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-09-29 19:22:41,000,+27.037,+48.988,+37.965,+12.360,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-09-29 19:32:41,000,+26.825,+50.687,+37.635,+12.360,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-09-29 19:42:41,000,+26.625,+50.069,+37.300,+12.350,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-09-29 19:52:41,000,+26.431,+50.781,+37.010,+12.290,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
29,2025-09-29 20:02:41,000,+26.250,+51.369,+36.685,+12.270,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
30,2025-09-29 20:12:41,000,+26.056,+52.187,+36.410,+12.280,+0.0,-0.01,-0.01,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
31,2025-09-29 20:22:41,000,+25.775,+53.469,+36.080,+12.270,+0.1,-0.01,-0.01,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
32,2025-09-29 20:32:41,000,+25.537,+54.500,+35.805,+12.260,+0.1,+0.00,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
33,2025-09-29 20:42:41,000,+25.281,+56.250,+35.500,+12.110,+0.0,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
34,2025-09-29 20:52:41,000,+25.237,+55.931,+35.235,+12.110,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
35,2025-09-29 21:02:41,000,+25.100,+56.588,+34.990,+12.110,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
36,2025-09-29 21:12:41,000,+24.975,+57.406,+34.760,+12.110,+0.0,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
37,2025-09-29 21:22:41,000,+24.706,+58.894,+34.525,+12.100,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
38,2025-09-29 21:32:41,000,+24.525,+59.594,+34.310,+12.020,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
39,2025-09-29 21:42:41,000,+24.169,+60.381,+34.090,+12.020,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
40,2025-09-29 21:52:41,000,+23.994,+61.819,+33.865,+12.020,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
41,2025-09-29 22:02:41,000,+23.663,+62.525,+33.630,+12.020,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
42,2025-09-29 22:12:41,000,+23.425,+63.219,+33.415,+12.010,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
43,2025-09-29 22:22:41,000,+23.325,+63.269,+33.245,+11.990,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
44,2025-09-29 22:32:41,000,+23.294,+63.062,+33.060,+11.930,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
45,2025-09-29 22:42:41,000,+23.212,+63.237,+32.870,+11.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
46,2025-09-29 22:52:41,000,+22.944,+63.350,+32.690,+11.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
47,2025-09-29 23:02:41,000,+22.800,+63.650,+32.500,+11.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
48,2025-09-29 23:12:41,000,+22.600,+63.775,+32.315,+11.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
