ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,413         
トリガ点,0           
開始時刻,2025-09-16,17:04:18
終了時刻,2025-09-19,13:45:13
トリガ時刻,2025-09-16,17:05:13
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-09-16 17:05:13,000,+29.150,+64.081,+33.415,+23.180,+13.8,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
2,2025-09-16 17:15:13,000,+28.675,+64.213,+33.080,+23.180,+10.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-09-16 17:25:13,000,+28.312,+64.281,+32.800,+23.010,+7.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
4,2025-09-16 17:35:13,000,+27.931,+64.388,+32.440,+23.010,+4.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
5,2025-09-16 17:45:13,000,+27.619,+64.625,+32.115,+22.930,+2.1,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
6,2025-09-16 17:55:13,000,+27.344,+65.375,+31.800,+22.930,+0.8,+0.00,+0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-09-16 18:05:13,000,+27.169,+65.963,+31.550,+22.940,+0.2,-0.01,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
8,2025-09-16 18:15:13,000,+26.981,+66.256,+31.305,+22.910,+0.0,+0.00,+0.00,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
9,2025-09-16 18:25:13,000,+26.844,+66.394,+31.040,+22.850,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
