ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1004        
トリガ点,0           
開始時刻,2025-09-22,15:55:21
終了時刻,2025-09-29,15:05:31
トリガ時刻,2025-09-22,15:55:31
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-09-22 15:55:31,000,+27.125,+41.469,+29.835,+4.720,+90.6,-0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
2,2025-09-22 16:05:31,000,+26.319,+43.431,+28.825,+4.620,+64.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-09-22 16:15:31,000,+25.656,+45.800,+28.515,+4.620,+26.5,+0.00,-0.01,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
4,2025-09-22 16:25:31,000,+25.088,+46.856,+27.760,+4.520,+15.4,+0.00,+0.00,+0.01,+0.01,+0.00,LLLLLLLLLL,LLLLL
5,2025-09-22 16:35:31,000,+24.756,+49.031,+27.695,+4.520,+25.9,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
6,2025-09-22 16:45:31,000,+24.675,+51.437,+28.165,+4.580,+35.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-09-22 16:55:31,000,+24.700,+50.275,+28.240,+4.610,+15.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
8,2025-09-22 17:05:31,000,+24.406,+52.319,+27.815,+4.520,+17.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
9,2025-09-22 17:15:31,000,+23.837,+52.838,+26.625,+4.440,+9.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
10,2025-09-22 17:25:31,000,+23.594,+54.769,+26.555,+4.440,+4.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-09-22 17:35:31,000,+23.300,+54.731,+26.195,+4.430,+1.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-09-22 17:45:31,000,+23.138,+57.713,+26.305,+4.430,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
13,2025-09-22 17:55:31,000,+22.906,+58.138,+25.970,+4.410,+0.1,-0.01,-0.01,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
14,2025-09-22 18:05:31,000,+22.600,+57.981,+25.450,+4.340,+0.1,-0.01,-0.01,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
15,2025-09-22 18:15:31,000,+22.394,+58.437,+25.310,+4.340,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
16,2025-09-22 18:25:31,000,+22.362,+59.175,+25.440,+4.340,+0.0,+0.01,+0.01,+0.01,+0.01,+0.00,LLLLLLLLLL,LLLLL
17,2025-09-22 18:35:31,000,+22.256,+61.831,+25.585,+4.350,+0.0,-0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
18,2025-09-22 18:45:31,000,+22.163,+61.275,+25.570,+4.380,+0.0,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
19,2025-09-22 18:55:31,000,+22.031,+61.950,+25.570,+4.370,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-09-22 19:05:31,000,+21.900,+62.406,+25.340,+4.340,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
21,2025-09-22 19:15:31,000,+21.812,+61.913,+25.360,+4.340,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
22,2025-09-22 19:25:31,000,+21.819,+62.613,+25.505,+4.340,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
23,2025-09-22 19:35:31,000,+21.675,+61.413,+24.900,+4.330,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
24,2025-09-22 19:45:31,000,+21.612,+61.669,+24.890,+4.310,-0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-09-22 19:55:31,000,+21.475,+61.719,+24.645,+4.170,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-09-22 20:05:31,000,+21.312,+60.825,+24.310,+4.160,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-09-22 20:15:31,000,+21.131,+63.731,+24.465,+4.160,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-09-22 20:25:31,000,+20.656,+64.831,+24.575,+4.160,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
29,2025-09-22 20:35:31,000,+20.131,+65.306,+24.305,+4.160,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
30,2025-09-22 20:45:31,000,+19.913,+65.406,+24.225,+4.160,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
31,2025-09-22 20:55:31,000,+19.662,+65.475,+24.050,+4.160,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
32,2025-09-22 21:05:31,000,+19.231,+65.562,+23.790,+4.100,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
33,2025-09-22 21:15:31,000,+19.031,+65.606,+23.715,+4.150,+0.1,-0.01,+0.00,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
34,2025-09-22 21:25:31,000,+18.937,+65.600,+23.635,+4.140,+0.1,+0.00,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
35,2025-09-22 21:35:31,000,+18.850,+65.844,+23.460,+4.080,+0.1,-0.01,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
36,2025-09-22 21:45:31,000,+18.650,+66.812,+23.385,+4.080,+0.0,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
37,2025-09-22 21:55:31,000,+18.862,+67.400,+23.425,+4.070,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
38,2025-09-22 22:05:31,000,+18.694,+66.925,+23.455,+4.070,+0.0,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
39,2025-09-22 22:15:31,000,+18.619,+67.319,+23.445,+4.070,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
40,2025-09-22 22:25:31,000,+18.731,+67.981,+23.425,+4.080,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
41,2025-09-22 22:35:31,000,+18.619,+67.594,+23.380,+4.080,+0.1,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
42,2025-09-22 22:45:31,000,+18.587,+67.281,+23.235,+4.070,+0.0,+0.00,+0.01,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLL
43,2025-09-22 22:55:31,000,+18.525,+67.450,+23.170,+4.080,+0.0,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
44,2025-09-22 23:05:31,000,+18.663,+67.731,+23.250,+4.080,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
45,2025-09-22 23:15:31,000,+18.700,+67.675,+23.335,+4.070,+0.0,-0.01,-0.01,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
46,2025-09-22 23:25:31,000,+18.744,+67.181,+23.240,+4.080,+0.1,+0.00,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
47,2025-09-22 23:35:31,000,+18.675,+67.044,+23.275,+4.070,+0.1,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
48,2025-09-22 23:45:31,000,+18.644,+67.369,+23.190,+4.080,+0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
49,2025-09-22 23:55:31,000,+18.681,+65.838,+23.245,+4.070,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
50,2025-09-23 00:05:31,000,+18.713,+66.219,+23.255,+4.080,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
51,2025-09-23 00:15:31,000,+18.513,+65.806,+23.135,+4.080,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
52,2025-09-23 00:25:31,000,+18.169,+65.937,+22.890,+4.070,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
53,2025-09-23 00:35:31,000,+17.925,+66.712,+22.580,+4.060,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
54,2025-09-23 00:45:31,000,+17.875,+67.238,+22.405,+4.020,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
55,2025-09-23 00:55:31,000,+17.869,+67.431,+22.435,+4.000,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
56,2025-09-23 01:05:31,000,+17.813,+67.706,+22.445,+4.020,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
57,2025-09-23 01:15:31,000,+17.638,+68.062,+22.330,+3.980,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
58,2025-09-23 01:25:31,000,+17.506,+68.525,+22.200,+3.980,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
59,2025-09-23 01:35:31,000,+17.481,+68.062,+22.085,+3.980,+0.1,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
60,2025-09-23 01:45:31,000,+17.369,+68.138,+22.005,+3.980,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
61,2025-09-23 01:55:31,000,+17.300,+68.775,+21.900,+3.970,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
62,2025-09-23 02:05:31,000,+17.238,+68.275,+21.905,+3.980,+0.1,+0.00,+0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
63,2025-09-23 02:15:31,000,+17.238,+69.056,+21.805,+3.940,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
64,2025-09-23 02:25:31,000,+17.425,+68.513,+21.915,+3.970,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
65,2025-09-23 02:35:31,000,+17.513,+67.519,+21.705,+3.920,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
66,2025-09-23 02:45:31,000,+17.606,+67.650,+21.765,+3.930,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
67,2025-09-23 02:55:31,000,+17.650,+67.775,+21.600,+3.900,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
68,2025-09-23 03:05:31,000,+17.663,+67.937,+21.685,+3.910,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
69,2025-09-23 03:15:31,000,+17.606,+68.119,+21.725,+3.910,+0.0,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
70,2025-09-23 03:25:31,000,+17.606,+68.275,+21.810,+3.910,+0.1,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
71,2025-09-23 03:35:31,000,+17.681,+68.575,+21.880,+3.920,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
72,2025-09-23 03:45:31,000,+17.775,+68.456,+21.990,+3.970,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
73,2025-09-23 03:55:31,000,+17.831,+67.819,+22.045,+3.980,+0.1,-0.01,-0.01,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
74,2025-09-23 04:05:31,000,+17.906,+67.381,+22.125,+3.980,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
75,2025-09-23 04:15:31,000,+17.962,+66.550,+22.050,+3.980,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
76,2025-09-23 04:25:31,000,+18.038,+66.062,+22.140,+3.980,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
77,2025-09-23 04:35:31,000,+18.125,+66.475,+22.290,+3.980,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
78,2025-09-23 04:45:31,000,+18.138,+65.800,+22.200,+3.980,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
79,2025-09-23 04:55:31,000,+18.125,+65.544,+22.135,+3.980,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
80,2025-09-23 05:05:31,000,+18.175,+65.819,+22.210,+3.990,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
81,2025-09-23 05:15:31,000,+18.206,+65.556,+22.290,+3.980,+0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
82,2025-09-23 05:25:31,000,+18.244,+65.388,+22.380,+3.980,+0.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
83,2025-09-23 05:35:31,000,+18.300,+65.456,+22.410,+3.980,+1.2,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
84,2025-09-23 05:45:31,000,+18.281,+65.394,+22.410,+3.990,+4.6,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
85,2025-09-23 05:55:31,000,+18.269,+65.463,+22.410,+3.980,+5.2,+0.00,+0.00,+0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
86,2025-09-23 06:05:31,000,+18.244,+65.444,+22.570,+3.990,+8.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
