ベンダ,GRAPHTEC Corporation,,,,,,,,,,,,,
モデル,GL240,,,,,,,,,,,,,
ファームウェア,Ver1.54,,,,,,,,,,,,,
ソフトウェア," ""Ver1.25""",,,,,,,,,,,,,
最大CH数,10CH,,,,,,,,,,,,,
GS開始CH,,,,,,,,,,,,,,
WL開始CH,10CH,,,,,,,,,,,,,
測定間隔,10min,,,,,,,,,,,,,
測定点数,893,,,,,,,,,,,,,
トリガ点,0,,,,,,,,,,,,,
開始時刻,2025/10/21,11:41:59,,,,,,,,,,,,
終了時刻,2025/10/27,16:22:08,,,,,,,,,,,,
トリガ時刻,2025/10/21,11:42:08,,,,,,,,,,,,
AC Mode, AC1_2, AC1_2,,,,,,,,,,,,
Logic/Pulse,Off,Off,,,,,,,,,,,,
アンプ設定,,,,,,,,,,,,,,
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,,,,,
CH1,CH 1,M,DC,1-5V,,20,80,-20,゜C,,,,,
CH2,CH 2,M,DC,1-5V,,20,100,0,%,,,,,
CH3,CH 3,M,DC,2V,,20,40,-60,゜C,,,,,
CH4,CH 4,M,DC,2V,,20,50,-50,%,,,,,
CH5,CH 5,M,DC,100mV,,20,1250,-1250,W/m2,,,,,
CH6,CH 6,M,DC,100V,,20,50,-50,V,,,,,
CH7,CH 7,M,DC,100V,,20,50,-50,V,,,,,
CH8,CH 8,M,DC,100V,,20,50,-50,V,,,,,
CH9,CH 9,M,DC,100V,,20,50,-50,V,,,,,
CH10,CH10,M,DC,100V,,20,70,-30,V,,,,,
測定値,,,,,,,,,,,,,,
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025/10/21 11:42,000,19.294,72.275,20.695,21.09,32.1,0,0,0,-0.01,0.01,LLLLLLLLLL,LLLLL
2,2025/10/21 11:52,000,19.25,72.563,20.745,21.08,46.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
3,2025/10/21 12:02,000,19.456,72.506,20.89,21.06,38.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
4,2025/10/21 12:12,000,19.531,72.569,20.975,21.09,51.2,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
5,2025/10/21 12:22,000,19.888,72.194,21.14,21.09,55.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
6,2025/10/21 12:32,000,20.3,64.987,21.335,21.15,37.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
7,2025/10/21 12:42,000,20.187,64.906,21.42,21.1,45.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
8,2025/10/21 12:52,000,20.187,64.775,21.54,21.11,38.9,0,0,0,0,0,LLLLLLLLLL,LLLLL
9,2025/10/21 13:02,000,20.038,64.85,21.62,21.1,32.9,0,0,0,0,0,LLLLLLLLLL,LLLLL
10,2025/10/21 13:12,000,19.963,64.931,21.66,21.1,52.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
11,2025/10/21 13:22,000,20.225,64.881,21.81,21.19,32.6,0,0,0,0,0,LLLLLLLLLL,LLLLL
12,2025/10/21 13:32,000,20.119,64.881,21.865,21.21,39.9,0,0,0,-0.01,-0.01,LLLLLLLLLL,LLLLL
13,2025/10/21 13:42,000,20.031,64.794,21.93,21.19,41.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
14,2025/10/21 13:52,000,20.075,64.719,21.935,21.21,34.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
15,2025/10/21 14:02,000,19.781,64.419,21.98,21.32,24.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
16,2025/10/21 14:12,000,19.3,64.581,21.87,21.24,25.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
17,2025/10/21 14:22,000,18.981,64.844,21.815,21.27,31.5,0,0,0,0,0,LLLLLLLLLL,LLLLL
18,2025/10/21 14:32,000,18.987,65.031,21.775,21.32,27.9,0,0,0,0,0,LLLLLLLLLL,LLLLL
19,2025/10/21 14:42,000,19.081,65.044,21.725,21.33,19.5,0,0,0,0,0,LLLLLLLLLL,LLLLL
20,2025/10/21 14:52,000,19.019,65.794,21.65,21.41,17.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
21,2025/10/21 15:02,000,18.813,66.812,21.605,21.4,14.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
22,2025/10/21 15:12,000,18.569,67.263,21.57,21.54,16.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
23,2025/10/21 15:22,000,18.269,67.562,21.45,21.47,15.9,0,0,0,0,0,LLLLLLLLLL,LLLLL
24,2025/10/21 15:32,000,18.031,67.888,21.39,21.49,14.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
25,2025/10/21 15:42,000,17.775,67.931,21.305,21.46,11.8,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
26,2025/10/21 15:52,000,17.356,67.981,21.16,21.45,10,0,0,0,0,0,LLLLLLLLLL,LLLLL
27,2025/10/21 16:02,000,17,68.238,21.005,21.46,10.4,0,-0.01,0,-0.01,0,LLLLLLLLLL,LLLLL
28,2025/10/21 16:12,000,16.819,69.125,20.915,21.49,10.4,0,0,0.01,0.01,0,LLLLLLLLLL,LLLLL
29,2025/10/21 16:22,000,16.575,68.531,20.77,21.44,9.2,0,-0.01,0,0,0,LLLLLLLLLL,LLLLL
30,2025/10/21 16:32,000,16.375,68.794,20.68,21.46,5.6,0,0,0,0,0,LLLLLLLLLL,LLLLL
31,2025/10/21 16:42,000,16.244,69.65,20.53,21.39,2.6,0,0,-0.01,0,-0.01,LLLLLLLLLL,LLLLL
32,2025/10/21 16:52,000,16.075,74.875,20.42,21.4,2,0,0,0.01,0.01,0.01,LLLLLLLLLL,LLLLL
33,2025/10/21 17:02,000,15.956,75.4,20.315,21.38,0.4,0,0,-0.01,0,0,LLLLLLLLLL,LLLLL
34,2025/10/21 17:12,000,15.869,75.744,20.185,21.21,0.1,0.01,0.01,0.01,0.01,0.01,LLLLLLLLLL,LLLLL
35,2025/10/21 17:22,000,15.806,76.119,20.115,21.23,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
36,2025/10/21 17:32,000,15.7,76.231,19.99,21.22,-0.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
37,2025/10/21 17:42,000,15.594,76.4,19.91,21.22,0,0,0,0,0,0,LLLLLLLLLL,LLLLL
38,2025/10/21 17:52,000,15.506,76.494,19.785,21.37,0,0.01,0.01,0.01,0.01,0.01,LLLLLLLLLL,LLLLL
39,2025/10/21 18:02,000,15.388,76.412,19.705,21.38,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
40,2025/10/21 18:12,000,15.225,76.437,19.625,21.33,0.1,-0.01,0,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
41,2025/10/21 18:22,000,15.144,76.525,19.51,21.21,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
42,2025/10/21 18:32,000,15.138,76.644,19.425,21.21,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
43,2025/10/21 18:42,000,15.075,76.7,19.305,21.14,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
44,2025/10/21 18:52,000,15.006,76.719,19.225,21.1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
45,2025/10/21 19:02,000,14.994,76.894,19.125,21.05,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
46,2025/10/21 19:12,000,14.913,76.775,19.06,21.05,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
47,2025/10/21 19:22,000,14.806,76.812,18.95,21.05,0.1,0,0,0,0,0.01,LLLLLLLLLL,LLLLL
