ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1005        
トリガ点,0           
開始時刻,2025-10-08,11:33:44
終了時刻,2025-10-15,10:54:38
トリガ時刻,2025-10-08,11:34:38
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-10-08 11:34:38,000,+31.437,+44.750,+30.800,+41.430,+175.5,+0.01,+0.01,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
2,2025-10-08 11:44:38,000,+31.400,+46.394,+30.940,+41.260,+147.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-10-08 11:54:38,000,+31.719,+45.175,+31.025,+41.270,+164.9,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
4,2025-10-08 12:04:38,000,+31.856,+45.163,+31.065,+41.190,+132.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
5,2025-10-08 12:14:38,000,+31.994,+44.394,+31.055,+41.180,+127.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
6,2025-10-08 12:24:38,000,+31.469,+46.444,+31.015,+41.170,+111.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-10-08 12:34:38,000,+30.831,+48.150,+30.940,+42.690,+152.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
8,2025-10-08 12:44:38,000,+31.094,+45.725,+30.850,+41.810,+107.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
9,2025-10-08 12:54:38,000,+30.687,+46.500,+30.810,+41.640,+94.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
10,2025-10-08 13:04:38,000,+30.400,+49.081,+30.720,+41.550,+128.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-10-08 13:14:38,000,+30.656,+48.388,+30.685,+41.560,+171.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-10-08 13:24:38,000,+31.081,+47.237,+30.690,+41.480,+114.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
13,2025-10-08 13:34:38,000,+30.919,+48.356,+30.665,+41.400,+132.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
14,2025-10-08 13:44:38,000,+30.800,+48.450,+30.605,+41.400,+111.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
15,2025-10-08 13:54:38,000,+30.700,+49.444,+30.585,+41.230,+91.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
16,2025-10-08 14:04:38,000,+30.450,+50.731,+30.560,+41.230,+91.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
17,2025-10-08 14:14:38,000,+30.638,+50.081,+30.520,+41.190,+107.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
18,2025-10-08 14:24:38,000,+30.425,+50.719,+30.490,+41.140,+106.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
19,2025-10-08 14:34:38,000,+30.244,+51.319,+30.450,+41.150,+90.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-10-08 14:44:38,000,+30.475,+51.138,+30.400,+41.150,+85.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
21,2025-10-08 14:54:38,000,+30.394,+50.331,+30.315,+41.120,+88.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
22,2025-10-08 15:04:38,000,+30.194,+51.331,+30.235,+41.060,+60.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
23,2025-10-08 15:14:38,000,+29.788,+51.662,+30.130,+41.050,+52.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
24,2025-10-08 15:24:38,000,+29.350,+52.706,+29.990,+41.050,+51.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-10-08 15:34:38,000,+28.769,+57.050,+29.885,+41.050,+48.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-10-08 15:44:38,000,+28.431,+58.806,+29.745,+41.010,+42.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-10-08 15:54:38,000,+28.013,+61.263,+29.660,+40.950,+40.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
28,2025-10-08 16:04:38,000,+27.713,+61.950,+29.530,+40.950,+30.0,+0.00,+0.01,+0.00,+0.01,+0.00,LLLLLLLLLL,LLLLL
29,2025-10-08 16:14:38,000,+27.244,+62.806,+29.385,+40.950,+24.8,-0.01,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
30,2025-10-08 16:24:38,000,+26.756,+63.225,+29.300,+40.950,+19.0,+0.01,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
31,2025-10-08 16:34:38,000,+26.250,+63.556,+29.135,+40.940,+13.8,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
32,2025-10-08 16:44:38,000,+25.869,+64.144,+29.015,+40.930,+9.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
33,2025-10-08 16:54:38,000,+25.344,+64.319,+28.840,+40.930,+6.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
34,2025-10-08 17:04:38,000,+24.800,+64.644,+28.630,+40.930,+2.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
35,2025-10-08 17:14:38,000,+24.363,+64.744,+28.400,+40.890,+1.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
36,2025-10-08 17:24:38,000,+23.850,+64.831,+28.155,+40.890,+2.0,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
37,2025-10-08 17:34:38,000,+23.425,+64.906,+27.890,+40.750,+0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
38,2025-10-08 17:44:38,000,+23.075,+65.138,+27.645,+40.740,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
39,2025-10-08 17:54:38,000,+22.712,+65.975,+27.415,+40.750,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
40,2025-10-08 18:04:38,000,+22.437,+66.469,+27.175,+40.730,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
41,2025-10-08 18:14:38,000,+22.331,+67.094,+26.950,+40.740,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
42,2025-10-08 18:24:38,000,+22.031,+67.494,+26.730,+40.730,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
43,2025-10-08 18:34:38,000,+21.925,+67.412,+26.520,+40.730,+0.1,+0.00,-0.01,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
44,2025-10-08 18:44:38,000,+21.763,+68.256,+26.325,+40.740,+0.1,-0.01,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
45,2025-10-08 18:54:38,000,+21.731,+68.175,+26.135,+40.720,+0.1,+0.01,+0.00,+0.01,+0.01,+0.00,LLLLLLLLLL,LLLLL
46,2025-10-08 19:04:38,000,+21.644,+67.981,+25.940,+40.730,+0.0,+0.00,-0.01,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
47,2025-10-08 19:14:38,000,+21.544,+67.606,+25.775,+40.730,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
48,2025-10-08 19:24:38,000,+21.588,+67.719,+25.580,+40.730,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
49,2025-10-08 19:34:38,000,+21.500,+67.481,+25.410,+40.730,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
50,2025-10-08 19:44:38,000,+21.519,+66.869,+25.300,+40.730,+0.0,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
51,2025-10-08 19:54:38,000,+21.700,+66.250,+25.150,+40.720,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
52,2025-10-08 20:04:38,000,+21.944,+65.900,+25.050,+40.730,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
53,2025-10-08 20:14:38,000,+22.019,+66.275,+24.895,+40.730,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
54,2025-10-08 20:24:38,000,+21.944,+66.331,+24.810,+40.730,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
55,2025-10-08 20:34:38,000,+21.869,+67.062,+24.695,+40.730,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
56,2025-10-08 20:44:38,000,+21.812,+67.000,+24.610,+40.720,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
57,2025-10-08 20:54:38,000,+21.775,+67.081,+24.535,+40.710,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
58,2025-10-08 21:04:38,000,+21.781,+67.000,+24.455,+40.700,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
59,2025-10-08 21:14:38,000,+21.806,+67.200,+24.375,+40.700,+0.0,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
60,2025-10-08 21:24:38,000,+21.819,+67.319,+24.295,+40.700,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
61,2025-10-08 21:34:38,000,+21.819,+67.150,+24.250,+40.700,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
62,2025-10-08 21:44:38,000,+21.750,+66.625,+24.175,+40.660,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
63,2025-10-08 21:54:38,000,+21.756,+66.281,+24.105,+40.650,-0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
64,2025-10-08 22:04:38,000,+21.681,+66.312,+24.055,+40.650,+0.0,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
65,2025-10-08 22:14:38,000,+21.619,+66.100,+23.965,+40.650,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
66,2025-10-08 22:24:38,000,+21.675,+66.138,+23.915,+40.650,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
67,2025-10-08 22:34:38,000,+21.706,+66.187,+23.850,+40.650,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
68,2025-10-08 22:44:38,000,+21.800,+65.838,+23.815,+40.650,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
