ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1260        
トリガ点,0           
開始時刻,2025-10-27,16:30:44
終了時刻,2025-11-05,10:20:54
トリガ時刻,2025-10-27,16:30:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-10-27 16:30:54,000,+20.356,+65.250,+23.515,+25.520,+6.4,+0.00,+0.00,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
2,2025-10-27 16:40:54,000,+19.781,+66.287,+23.440,+25.540,+3.1,+0.00,+0.00,+0.00,+0.01,+0.00,LLLLLLLLLL,LLLLL
3,2025-10-27 16:50:54,000,+19.094,+67.050,+23.275,+25.440,+1.2,+0.00,+0.00,+0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
4,2025-10-27 17:00:54,000,+18.406,+68.500,+23.105,+25.360,+0.6,+0.01,+0.01,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLL
5,2025-10-27 17:10:54,000,+17.931,+69.763,+22.990,+25.350,+0.2,+0.00,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
6,2025-10-27 17:20:54,000,+17.594,+75.444,+22.810,+25.330,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-10-27 17:30:54,000,+17.419,+75.913,+22.655,+25.290,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
8,2025-10-27 17:40:54,000,+17.213,+75.994,+22.500,+25.270,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
9,2025-10-27 17:50:54,000,+17.088,+76.175,+22.400,+25.240,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
10,2025-10-27 18:00:54,000,+16.962,+76.400,+22.260,+25.210,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-10-27 18:10:54,000,+16.925,+76.612,+22.140,+25.130,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-10-27 18:20:54,000,+16.831,+76.744,+21.975,+25.110,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
13,2025-10-27 18:30:54,000,+16.700,+76.763,+21.820,+25.100,+0.1,-0.01,-0.01,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
14,2025-10-27 18:40:54,000,+16.556,+76.788,+21.675,+25.060,+0.0,-0.01,-0.01,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
15,2025-10-27 18:50:54,000,+16.413,+76.825,+21.545,+24.920,+0.0,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
16,2025-10-27 19:00:54,000,+16.206,+76.794,+21.395,+24.920,+0.0,+0.00,-0.01,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
17,2025-10-27 19:10:54,000,+15.962,+76.719,+21.235,+24.930,+0.1,+0.00,-0.01,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
18,2025-10-27 19:20:54,000,+15.812,+76.838,+21.090,+24.890,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
19,2025-10-27 19:30:54,000,+15.688,+76.819,+20.935,+24.850,+0.0,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-10-27 19:40:54,000,+15.625,+76.906,+20.785,+24.860,+0.0,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
21,2025-10-27 19:50:54,000,+15.581,+77.094,+20.675,+24.810,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
22,2025-10-27 20:00:54,000,+15.525,+77.181,+20.525,+24.810,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
23,2025-10-27 20:10:54,000,+15.437,+77.119,+20.390,+24.770,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
24,2025-10-27 20:20:54,000,+15.400,+77.194,+20.285,+24.770,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-10-27 20:30:54,000,+15.450,+77.219,+20.160,+24.740,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-10-27 20:40:54,000,+15.481,+77.375,+20.075,+24.680,+0.0,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-10-27 20:50:54,000,+15.569,+77.219,+19.955,+24.680,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-10-27 21:00:54,000,+15.525,+77.381,+19.880,+24.660,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
29,2025-10-27 21:10:54,000,+15.538,+77.331,+19.755,+24.630,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
30,2025-10-27 21:20:54,000,+15.375,+77.087,+19.695,+24.560,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
31,2025-10-27 21:30:54,000,+15.288,+77.256,+19.630,+24.520,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
32,2025-10-27 21:40:54,000,+15.131,+77.006,+19.495,+24.510,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
33,2025-10-27 21:50:54,000,+14.919,+77.044,+19.360,+24.490,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
34,2025-10-27 22:00:54,000,+14.769,+77.081,+19.280,+24.470,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
35,2025-10-27 22:10:54,000,+14.613,+77.031,+19.150,+24.440,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
36,2025-10-27 22:20:54,000,+14.469,+77.056,+19.070,+24.440,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
37,2025-10-27 22:30:54,000,+14.400,+77.281,+18.930,+24.430,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
38,2025-10-27 22:40:54,000,+14.288,+77.287,+18.845,+24.390,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
39,2025-10-27 22:50:54,000,+14.144,+77.350,+18.725,+24.360,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
40,2025-10-27 23:00:54,000,+14.094,+77.344,+18.635,+24.360,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
41,2025-10-27 23:10:54,000,+13.994,+77.281,+18.515,+24.350,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
42,2025-10-27 23:20:54,000,+13.831,+77.144,+18.430,+24.320,+0.0,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
43,2025-10-27 23:30:54,000,+13.831,+77.356,+18.310,+24.300,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
44,2025-10-27 23:40:54,000,+13.825,+77.031,+18.250,+24.270,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
